Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);CSV Injection
MALATYA TURGUT ÖZAL ÜNİVERSİTESİ;www.ozal.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
MALTEPE ÜNİVERSİTESİ;http://www.maltepe.edu.tr/;True;True;17.05.2025 15:37;15.08.2025 16:35;False;False;False;False;False;False;True;True;0;False
MANİSA CELÂL BAYAR ÜNİVERSİTESİ;www.cbu.edu.tr;True;True;17.05.2025 05:22;15.08.2025 05:22;True;False;False;False;False;False;True;True;1;False
MARDİN ARTUKLU ÜNİVERSİTESİ;http://www.artuklu.edu.tr/;True;True;31.05.2024 00:00;27.05.2025 23:59;True;False;False;False;False;False;True;True;1;False
MARMARA ÜNİVERSİTESİ;http://www.marmara.edu.tr;True;True;13.08.2024 00:00;17.08.2025 23:59;False;True;True;True;False;False;False;True;3;False
MEF ÜNİVERSİTESİ;www.mef.edu.tr;True;True;12.05.2025 13:49;10.08.2025 13:49;True;False;False;False;False;False;True;True;1;False
MERSİN ÜNİVERSİTESİ;http://www.mersin.edu.tr/idari/g enel-sekreterlik;True;True;18.02.2025 00:00;21.03.2026 23:59;False;False;False;False;False;False;True;True;0;False
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ;https://www.msgsu.edu.tr;True;True;24.05.2024 12:26;24.05.2025 12:26;False;True;False;False;False;False;True;True;1;False
MUDANYA ÜNİVERSİTESİ;https://mudanya.edu.tr;True;True;18.05.2025 14:22;16.08.2025 14:22;False;False;False;False;False;False;True;True;0;False
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ;http://www.mu.edu.tr/;True;True;5.08.2024 00:00;3.09.2025 23:59;False;False;False;False;False;False;True;True;0;False
MUNZUR ÜNİVERSİTESİ;www.munzur.edu.tr;True;True;8.07.2024 00:00;13.07.2025 23:59;False;False;False;False;False;False;True;True;0;False
MUŞ ALPARSLAN ÜNİVERSİTESİ;www.alparslan.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
NECMETTİN ERBAKAN ÜNİVERSİTESİ;http://www.erbakan.edu.tr;True;True;13.04.2025 01:38;12.07.2025 02:38;True;False;True;True;False;False;False;True;3;False
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ;http://www.nevsehir.edu.tr/;True;True;27.08.2024 12:33;27.08.2025 12:33;False;False;False;False;False;False;True;True;0;False
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ;http://www.ohu.edu.tr/;True;True;1.11.2024 14:50;3.12.2025 14:50;False;False;False;False;False;False;True;True;0;False
